zip,total_education_count,hs_diploma,some_college,associates,bachelors,advanced_degree
65622,6276,2252,1286,301,798,360
65623,17,4,3,0,0,0
65624,1399,430,435,155,121,60
65625,5471,2323,1232,375,575,350
65626,1181,545,215,80,29,90
65627,387,265,71,0,10,10
65629,380,154,101,21,25,7
65630,207,17,35,7,95,36
65631,3030,1052,804,132,655,184
65632,1696,657,326,161,138,45
65633,3065,1447,466,139,197,76
65634,580,231,105,22,53,34
65635,464,189,83,34,53,64
65637,1083,491,187,34,52,69
65638,377,202,69,12,15,16
65640,551,226,76,22,78,51
65641,936,441,207,126,68,32
65644,1712,853,372,37,183,47
65646,1549,635,390,73,78,79
65647,1523,646,368,128,52,27
65648,4141,1826,1008,346,436,149
65649,971,381,250,27,107,55
65650,865,400,151,64,67,62
65652,2759,1186,661,162,204,128
65653,4081,1480,1060,218,387,213
65654,117,47,24,2,9,8
65655,2540,1069,554,121,218,152
65656,3301,1426,660,205,206,59
65657,89,56,19,0,6,1
65658,1492,649,277,140,239,44
65660,66,42,0,0,0,0
65661,1614,685,313,124,190,90
65662,840,259,270,34,9,28
65663,1647,673,359,103,151,37
65664,86,40,20,0,5,0
65667,2283,890,438,57,167,178
65668,1473,594,297,107,134,37
65669,1247,562,291,44,102,118
65672,5600,1905,1514,352,678,235
65674,2118,988,357,140,141,84
65676,390,138,97,48,33,18
65679,1987,814,608,80,246,116
65680,960,489,160,22,84,37
65681,1699,733,372,98,166,100
65682,1620,719,312,103,189,81
65685,479,175,119,60,17,7
65686,3713,1242,1187,221,467,231
65689,3242,1210,655,144,394,190
65690,170,89,23,14,3,4
65692,1083,479,260,74,48,36
65702,363,134,24,38,34,3
65704,2347,960,528,119,256,92
65705,2750,1217,690,123,196,153
65706,9827,3928,2418,750,1151,608
65707,1467,623,268,148,145,13
65708,8210,2764,1765,382,1071,454
65710,820,320,163,27,98,64
65711,6698,2841,1266,394,600,387
65712,5904,2453,1184,248,877,387
65713,1625,809,271,98,87,66
65714,19896,5679,5760,1632,3810,1687
65715,22,7,10,0,3,2
65717,1573,786,301,76,71,30
65720,405,206,83,12,37,36
65721,19930,5759,5074,1334,4109,1689
65722,941,476,134,38,102,8
65723,2699,1148,537,166,290,129
65724,1301,516,386,122,128,33
65725,1814,577,594,111,195,114
65727,237,155,67,0,15,0
65728,26,0,0,0,0,0
65729,237,67,59,28,14,22
65730,91,55,19,0,17,0
65731,256,120,94,0,14,28
