zip,science_and_eng_field,science_and_eng_related_field,business_field,education_field,arts_humanities_field
04962,0,0,20,0,0
04963,360,121,110,291,282
04964,14,0,14,12,16
04965,80,35,29,69,46
04966,63,32,37,44,43
04967,186,59,17,145,166
04969,26,3,29,14,25
04970,104,59,40,62,104
04971,49,4,11,69,6
04973,120,34,15,48,91
04974,37,66,56,200,164
04975,41,0,0,0,0
04976,471,72,134,256,230
04978,70,4,5,29,7
04979,26,14,4,30,34
04981,161,56,55,120,98
04982,6,0,5,4,16
04983,82,22,20,30,49
04984,32,11,9,25,38
04985,7,0,6,6,13
04986,64,17,12,45,58
04987,37,8,15,23,33
04988,110,46,25,35,108
04989,198,40,151,60,95
05001,770,180,354,429,677
05031,33,0,0,10,23
05032,193,13,56,124,133
05033,256,52,28,62,133
05034,7,0,8,22,0
05035,25,12,15,14,37
05036,75,29,24,37,83
05037,59,8,21,42,52
05038,91,16,25,57,124
05039,98,18,19,11,75
05040,39,12,10,16,24
05041,38,0,0,0,0
05042,45,12,10,7,16
05043,99,17,0,22,97
05045,236,106,47,86,133
05046,54,14,3,15,61
05048,248,86,27,72,159
05050,4,0,0,0,7
05051,100,20,17,92,161
05052,0,8,0,0,0
05053,36,0,23,54,68
05055,919,227,85,89,620
05056,57,21,39,4,38
05058,28,7,5,0,8
05059,66,20,77,0,47
05060,421,116,48,221,412
05061,120,54,63,22,94
05062,54,15,31,34,55
05065,103,22,20,46,52
05067,34,7,24,10,54
05068,404,24,43,52,308
05069,32,2,12,20,29
05070,86,20,12,33,65
05071,21,0,0,0,20
05072,87,13,6,11,65
05075,246,67,20,42,138
05076,10,7,0,11,21
05077,99,20,11,59,90
05079,68,10,20,8,67
05081,20,6,9,24,19
05083,0,0,9,2,15
05084,0,24,0,0,16
05086,23,8,30,10,25
05089,307,76,123,120,340
05091,610,67,177,191,491
05101,183,18,68,122,179
05141,0,0,0,2,2
05142,54,15,12,45,69
05143,367,66,52,136,214
05146,86,15,4,42,57
05148,153,6,29,40,115
05149,228,76,84,86,119
05150,10,14,19,21,38
05151,73,13,33,90,26
05152,47,22,18,8,32
